geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
72101,Morovis Municipio,113,4904,472,,16369,4520,,7282,18201,,32609
72047,Corozal Municipio,140,5961,750,,18872,21254,,7856,19418,,36828
72003,Aguada Municipio,365,5100,732,,21185,12400,,10348,22590,,41595
72077,Juncos Municipio,202,6715,996,,21053,734,,9460,18634,,40346
72073,Jayuya Municipio,55,3119,368,,8220,1578,,3321,8467,,16413
72067,Hormigueros Municipio,263,3267,615,,9168,5171,,4907,5564,,17151
72143,Vega Alta Municipio,529,4582,765,,20810,3126,,9320,19791,,39856
72087,Loíza Municipio,639,6086,570,,15666,453,,6793,13529,,29549
72037,Ceiba Municipio,178,2602,601,,7076,638,,3500,5645,,13419
72105,Naranjito Municipio,155,4793,460,,15299,16666,,6061,15515,,30256
72107,Orocovis Municipio,241,3891,522,,11508,3653,,5192,13915,,23194
72063,Gurabo Municipio,467,5794,1323,,24063,8894,,11528,16229,,46084
72019,Barranquitas Municipio,69,4672,573,,15329,17812,,6124,17444,,30218
72069,Humacao Municipio,572,10991,1494,,30388,4441,,14538,24633,,57823
72119,Río Grande Municipio,842,8941,1184,,27686,1804,,13152,21466,,54035
72085,Las Piedras Municipio,169,7237,834,,20008,9070,,8675,18924,,38777
72065,Hatillo Municipio,543,5253,1244,,21666,1058,,9801,19332,,41932
72033,Cataño Municipio,931,4658,778,,14549,1239,,5863,13563,,27669
72057,Guayama Municipio,343,8019,997,,22517,4084,,10564,21311,,44725
72015,Arroyo Municipio,104,3009,363,,10301,3700,,4539,10037,,19443
72043,Coamo Municipio,240,7540,1319,,20813,625,,10806,20729,,40579
72001,Adjuntas Municipio,20,2976,288,,9883,70,,3773,11543,,19334
72103,Naguabo Municipio,308,4929,826,,14032,704,,6485,13837,,26867
72013,Arecibo Municipio,1092,16509,2528,,49423,2847,,23611,44420,,95185
72149,Villalba Municipio,15,5359,460,,13037,4270,,6010,13629,,25618
72017,Barceloneta Municipio,104,4873,674,,12933,341,,6435,13464,,24884
72045,Comerío Municipio,40,2453,261,,10389,7050,,3966,12209,,20676
72153,Yauco Municipio,158,7080,1323,,21283,1235,,8876,22137,,41194
72009,Aibonito Municipio,242,4653,719,,13174,194,,7044,12122,,25560
72089,Luquillo Municipio,449,3831,640,,10484,588,,4852,8580,,19918
72121,Sabana Grande Municipio,199,4571,823,,13077,437,,5492,12362,,24974
72071,Isabela Municipio,393,6198,1523,,23257,1839,,9707,24904,,45315
72125,San Germán Municipio,269,6450,1150,,18047,487,,8569,16041,,35070
72041,Cidra Municipio,500,7667,1031,,22106,941,,10175,16751,,43238
72083,Las Marías Municipio,35,1690,227,,4902,34,,2137,5563,,9699
72059,Guayanilla Municipio,44,3822,546,,10958,319,,5179,11232,,21218
72051,Dorado Municipio,718,5884,1387,,19929,4262,,9742,13665,,38303
72123,Salinas Municipio,99,6008,924,,15841,4131,,8382,17739,,30807
72027,Camuy Municipio,319,4492,688,,17984,584,,8427,15541,,34806
72127,San Juan Municipio,46294,50778,12506,,209431,41696,,81441,152821,,387336
72145,Vega Baja Municipio,304,3498,1016,,30467,689,,14433,29556,,58782
72025,Caguas Municipio,2514,21213,4551,,75127,9982,,34330,52659,,141600
72147,Vieques Municipio,14,2166,385,,4578,666,,2297,3983,,9273
72135,Toa Alta Municipio,966,10206,1763,,38487,20210,,17948,26174,,74561
72031,Carolina Municipio,11348,26045,6479,,93561,8520,,44345,52019,,173994
72095,Maunabo Municipio,31,1918,164,,6110,3238,,2997,6765,,12070
72131,San Sebastián Municipio,221,4748,1019,,21418,295,,8675,22961,,41798
72137,Toa Baja Municipio,2389,12605,3128,,46467,30751,,22479,33480,,88195
72049,Culebra Municipio,14,291,70,,656,113,,333,792,,1478
72129,San Lorenzo Municipio,293,6079,966,,20741,6210,,9284,18907,,40701
72097,Mayagüez Municipio,1539,14008,2719,,45358,15357,,18101,44034,,87161
72035,Cayey Municipio,448,8397,1548,,24666,675,,11444,18599,,47700
72079,Lajas Municipio,122,4421,760,,13009,486,,4897,15547,,25442
72023,Cabo Rojo Municipio,352,7920,1391,,26567,397,,10516,25022,,50869
72109,Patillas Municipio,52,3219,522,,9635,3215,,4846,10561,,19017
72053,Fajardo Municipio,562,6626,1820,,19196,981,,9519,15042,,36252
72029,Canóvanas Municipio,1425,7743,926,,24574,246,,11232,20366,,47730
72007,Aguas Buenas Municipio,204,3770,689,,14486,3566,,5837,15171,,28378
72075,Juana Díaz Municipio,304,8733,1610,,26122,12826,,12767,26490,,50365
72117,Rincón Municipio,131,2023,451,,7777,4827,,4438,8064,,15094
72139,Trujillo Alto Municipio,2664,10776,2322,,38866,21649,,17336,21842,,73970
72054,Florida Municipio,196,2936,208,,6572,1,,3059,6920,,12645
72081,Lares Municipio,166,4281,483,,15237,216,,6097,18512,,30051
72055,Guánica Municipio,60,3727,552,,9840,420,,3990,12000,,19019
72061,Guaynabo Municipio,6155,11613,3149,,50769,4066,,26070,26045,,96670
72133,Santa Isabel Municipio,131,4052,688,,12005,1334,,5983,11382,,23231
72099,Moca Municipio,161,6445,878,,20252,2381,,8672,20853,,39755
72093,Maricao Municipio,27,1554,171,,3376,87,,1335,3696,,6552
72021,Bayamón Municipio,7704,25078,7458,,107425,44344,,50051,70734,,204725
72115,Quebradillas Municipio,88,2911,682,,13195,467,,5338,14663,,25738
72091,Manatí Municipio,176,7583,1039,,22792,554,,11494,20176,,43497
72141,Utuado Municipio,138,4852,566,,16645,542,,6707,18145,,32593
72039,Ciales Municipio,36,3386,333,,9413,175,,3972,11188,,18509
72005,Aguadilla Municipio,766,9015,1902,,30779,9992,,12904,29041,,59982
72113,Ponce Municipio,1462,28518,5961,,84504,22361,,37261,81201,,162793
72151,Yabucoa Municipio,210,6218,777,,19181,5407,,8783,19161,,37404
72011,Añasco Municipio,142,6116,590,,14947,1751,,7323,14599,,29086
72111,Peñuelas Municipio,149,4598,603,,12159,310,,5854,14281,,23783
54073,Pleasants County,25,2227,674,5487,3511,178,464,2300,1028,3626,7602
51045,Craig County,15,1515,636,3997,2677,126,218,1791,449,2589,5199
53029,Island County,5885,11531,12624,28571,39655,3624,8077,22986,6886,40270,78806
53075,Whitman County,4282,3422,2526,23511,22555,1872,2863,7681,12772,14163,45512
55073,Marathon County,5246,30961,9868,104903,66996,2331,8601,39287,14482,61674,134497
55081,Monroe County,997,10728,5231,32826,22128,708,2090,11963,6360,19453,44953
51007,Amelia County,154,2832,1082,9078,6459,183,815,3843,1051,5978,12712
51075,Goochland County,600,3371,2026,13726,10843,167,3360,7271,1081,12042,21565
51173,Smyth County,370,7527,2387,24556,16370,364,998,8950,5769,13639,31979
54043,Lincoln County,47,5259,1771,18363,10940,132,858,6625,5879,9409,21660
51678,Lexington,364,431,320,3292,2577,226,265,949,881,1371,7026
51069,Frederick County,4303,13418,7459,41805,39987,1427,8361,22852,5547,36860,79453
55009,Brown County,12728,47441,16824,190403,126363,6705,17788,65614,27954,103830,250597
55141,Wood County,1735,18751,6206,60502,37731,720,3951,23873,8102,34262,74469
51071,Giles County,214,3981,1323,12053,8797,235,741,5442,2255,7367,17111
54017,Doddridge County,52,2254,795,5883,3839,156,180,2300,1204,3175,8213
51111,Lunenburg County,373,2495,1184,9609,5909,258,322,3444,2550,4923,12759
56013,Fremont County,443,6755,3467,20598,20329,1003,2573,11100,5947,16602,40517
51177,Spotsylvania County,7885,22527,13141,62138,63366,2808,16606,32318,9383,54910,124319
54009,Brooke County,263,6742,2045,13900,12259,76,1268,7540,3001,10091,23932
55049,Iowa County,348,5537,1573,19250,11869,232,1566,7426,2295,11561,23709
55077,Marquette County,217,4364,1696,11592,7551,206,541,5156,2061,7558,15308
54041,Lewis County,143,5011,1478,13221,8240,262,847,4617,3289,6919,16411
56007,Carbon County,715,3269,1603,6229,7146,598,1219,4477,1979,6902,15809
51520,Bristol,277,3268,1469,7700,9479,152,425,4495,3625,6724,17713
51113,Madison County,393,2569,1356,9044,6706,381,863,4032,1745,6019,13249
55121,Trempealeau County,1004,7505,2116,22376,14363,333,1417,8739,3386,12980,29098
54005,Boone County,34,6623,1788,21270,12392,139,1402,7357,5025,11256,24517
51036,Charles County,64,1989,706,5870,3672,153,451,2294,850,2781,7205
51630,Fredericksburg,2293,3471,1934,12546,13908,865,2510,3721,4342,6920,25931
51117,Mecklenburg County,637,6949,2884,22310,16473,406,1076,9282,6014,12531,32274
53061,Snohomish County,103115,100708,57318,371286,361737,33851,87534,179550,74004,304561,724627
51735,Poquoson,494,1775,1363,6893,6156,150,1978,3755,673,5764,12117
53019,Ferry County,273,1459,891,4492,3661,257,347,2125,1555,3131,7623
51161,Roanoke County,4779,15200,8535,58936,48476,1522,9106,29098,5989,43461,92824
51570,Colonial Heights,909,3789,1960,10184,9327,138,1309,4493,1600,6613,17481
51119,Middlesex County,292,2159,1259,7153,5457,42,1164,3606,986,5187,10851
56041,Uinta County,722,3843,1359,6994,10303,720,1837,5297,2778,8776,21040
51003,Albemarle County,9742,10763,6838,46351,52442,2934,13564,25078,9552,43071,100636
51740,Portsmouth,2545,15057,10778,62225,49706,2998,4620,20997,16988,29745,95901
55023,Crawford County,220,4653,1574,12595,7982,98,608,5075,1988,7366,16578
51089,Henry County,1679,10331,4277,38216,27838,985,1429,16919,9037,22927,53451
51187,Warren County,1385,7904,3584,22381,19078,1052,3554,10436,3466,15970,37836
51197,Wythe County,276,6371,2201,22516,14836,56,1239,8585,4160,13009,29274
56033,Sheridan County,846,4944,3107,12294,14881,540,2295,8580,2497,13607,29376
51137,Orange County,1575,7244,3541,19233,17381,678,2952,9576,4179,15493,33934
56045,Weston County,26,1480,773,2470,3405,122,684,2264,766,3419,7153
51031,Campbell County,985,11416,4848,40918,28400,1311,2830,16545,7974,24505,54967
51081,Greensville County,143,2905,1002,8458,4561,87,228,2568,1815,3914,12078
51820,Waynesboro,717,4968,1828,14225,10937,758,1021,5067,4125,7851,21099
54019,Fayette County,269,11209,3924,37086,22930,439,1554,13234,9288,18134,45889
54053,Mason County,98,7214,2950,17199,14126,501,1159,8435,5028,11688,27271
50021,Rutland County,1250,13594,5261,36638,31006,812,3668,17942,7655,26585,61270
51760,Richmond,14510,24835,12126,128516,109018,7126,14867,36547,50681,45998,207878
51015,Augusta County,1389,18336,6308,53699,36142,574,4354,22662,6639,34836,73726
54033,Harrison County,663,16729,5992,54177,35496,880,3971,20508,12036,30158,69078
51143,Pittsylvania County,1299,13283,5165,49643,32130,1091,2661,20787,9007,28712,63077
54075,Pocahontas County,28,2201,920,6115,4272,164,283,3023,1594,4315,8723
53077,Yakima County,44082,31397,14210,142683,122080,8680,10841,49559,54303,89134,244654
55011,Buffalo County,139,3804,1092,8230,6610,113,594,4408,1590,6407,13466
54081,Raleigh County,1307,18351,7849,61064,39501,1016,4537,22939,12851,33912,78993
55027,Dodge County,1856,21825,6642,73062,42082,1095,4185,24592,7448,38106,88598
51063,Floyd County,308,3340,1305,10958,7750,259,570,4720,1935,7294,15371
56043,Washakie County,420,1461,752,4162,4214,148,651,2485,1009,3797,8468
54003,Berkeley County,3589,22639,10627,41594,53831,2514,7872,30408,13660,44782,105812
50027,Windsor County,1925,12094,5281,18583,28728,1001,4538,17462,5708,25631,56416
51135,Nottoway County,303,3601,1236,12269,7647,208,528,3674,2476,5570,15862
51165,Rockingham County,3644,16402,4837,53488,39298,1060,5269,22603,7860,35771,76885
55051,Iron County,57,1514,758,2733,2924,82,216,2364,951,3135,5937
55105,Rock County,6996,33874,11930,113327,81609,5523,7869,45013,22420,65957,160345
50019,Orleans County,1190,6904,2366,17350,13612,412,1065,8546,4047,11622,27184
55137,Waushara County,599,6645,2616,19039,11608,260,921,8033,2681,11640,24483
53027,Grays Harbor County,4220,12526,7534,45457,35024,2516,3165,18998,13058,28570,72092
51057,Essex County,277,2575,929,8378,5889,326,435,3265,1233,4571,11180
53037,Kittitas County,2361,5417,3622,25638,20472,1087,2509,9386,8771,16159,41291
53017,Douglas County,5958,5450,3107,22347,19373,1109,1880,9918,6104,17658,38807
54031,Hardy County,283,4127,1065,6810,6907,22,417,3887,2177,5317,13922
55079,Milwaukee County,82074,154889,53064,650863,491416,30963,57245,194837,200497,287515,950527
53003,Asotin County,332,4285,2195,6033,11359,611,1103,6115,2911,9474,21802
55025,Dane County,39085,58328,28261,313487,250711,13151,55735,123138,62168,196735,496762
54013,Calhoun County,23,2126,635,5539,3796,160,256,2493,1655,3457,7603
54103,Wetzel County,108,4694,1486,13574,8390,83,838,5473,3219,7450,16435
54049,Marion County,686,13792,5029,45277,29024,944,3106,17191,8805,23703,56666
55013,Burnett County,214,4169,1948,7809,7572,284,618,5838,2596,7860,15449
51830,Williamsburg,1210,1176,957,5867,7807,447,938,1962,1960,3603,14579
55043,Grant County,672,11661,3248,35590,24532,435,1887,13953,7793,20705,51080
51147,Prince Edward County,541,3870,1452,16446,11768,252,891,4856,3659,7476,23166
51650,Hampton,6838,20356,20146,68719,71185,3661,9460,31560,19618,48299,136957
51181,Surry County,73,1472,702,5599,3512,41,289,2080,798,2971,6922
51053,Dinwiddie County,598,6827,2439,21162,14220,426,1303,7607,3610,10858,27977
53023,Garfield County,48,480,278,1055,1104,90,126,741,266,1232,2249
51087,Henrico County,35210,42182,22033,180278,164745,7581,36775,80690,32877,121499,311314
53009,Clallam County,3216,12059,9035,33107,36213,2530,4702,21516,10288,31648,71731
51145,Powhatan County,826,4365,2390,17758,12593,479,3361,8466,1347,13561,28108
51073,Gloucester County,717,7474,4457,20539,18756,746,3203,11519,3360,17665,36868
51195,Wise County,636,7408,2901,30334,19811,443,1727,10913,8366,16339,41154
56011,Crook County,24,1489,538,2544,3438,14,583,2331,473,3761,7110
55113,Sawyer County,218,3576,1662,9754,8182,459,873,5774,3046,7809,16542
51800,Suffolk,2742,13276,10741,50620,44040,3118,8914,22373,9528,34066,84842
55041,Forest County,72,2407,946,7747,4546,207,288,2848,1484,3965,9255
53035,Kitsap County,16400,33833,35514,108450,124344,15881,29012,65834,25624,111800,252687
55001,Adams County,711,5620,2551,13368,9560,297,697,7064,2048,9706,20741
51510,Alexandria,37616,12090,10810,31734,74236,5577,37901,28337,11980,53196,143684
51121,Montgomery County,8533,9093,4888,51359,45605,1598,7059,19012,20831,32445,94910
56003,Big Horn County,306,2030,1061,6217,5876,205,782,3378,1173,5600,11741
56035,Sublette County,295,1848,734,3714,4636,859,1666,2607,621,5236,10178
53005,Benton County,16861,22026,14541,90255,89270,5526,19475,44721,22560,74935,178992
51610,Falls Church,2061,811,686,3103,6708,665,3840,2981,504,5315,12731
55133,Waukesha County,17934,61762,26579,295913,199129,6103,54721,118038,20818,191330,391200
51061,Fauquier County,3846,10862,6424,35574,33553,1826,11084,18530,3639,30291,66015
51011,Appomattox County,140,3478,1481,11028,7892,263,855,4654,2632,6537,15054
51107,Loudoun County,73863,26407,20436,108810,165018,13467,79611,83100,11789,150846,326477
50023,Washington County,2019,11135,4754,32701,29974,1044,4836,18021,5439,24729,59427
51099,King George County,450,3860,3007,11379,12078,544,3808,6114,1700,10507,24151
51043,Clarke County,550,2589,1639,7159,7257,273,2433,4447,926,7176,14191
51685,Manassas Park,4759,2083,885,5510,7313,1167,1515,2825,1062,5903,15125
53025,Grant County,16404,12570,5671,48976,44393,2813,4033,18156,18055,35095,90202
53069,Wahkiakum County,135,861,422,1815,2070,116,186,1302,875,1748,4006
54065,Morgan County,237,5264,1356,6259,8754,179,879,4770,2651,6585,17502
53055,San Juan County,1015,1867,1544,5545,8138,281,1807,5541,1679,7954,15786
55033,Dunn County,797,8453,2907,30085,21876,669,1984,11041,6353,17809,43871
55057,Juneau County,495,6608,2786,19420,12616,366,1164,7745,3490,11241,26673
51131,Northampton County,735,2884,1133,8434,6390,20,706,3533,2940,4748,12339
51065,Fluvanna County,712,4271,2283,15465,14108,626,2455,8094,1733,11928,25860
55019,Clark County,938,8845,2191,27008,17090,297,1033,10175,5060,15648,34630
54079,Putnam County,701,12992,4780,45136,28567,690,5148,18121,6281,26558,56033
56005,Campbell County,1695,8931,2743,19230,22397,703,6587,12812,3590,20409,46901
53047,Okanogan County,4425,7829,3891,23992,20429,1634,1609,10902,8364,18444,41143
51035,Carroll County,572,6108,2529,19201,14981,365,896,9889,5411,14363,29979
55017,Chippewa County,702,14816,5444,50047,30335,985,3015,17728,6734,27788,62676
54099,Wayne County,167,9934,3522,32181,21677,471,1625,12906,8313,17897,42007
54001,Barbour County,72,4646,1312,13376,8511,262,470,4707,2848,7556,16655
53021,Franklin County,19630,9381,3416,41649,39273,2824,4163,15698,16118,29371,81835
51790,Staunton,752,4338,1819,16156,13316,716,1294,6054,4079,8647,23989
51059,Fairfax County,323193,91536,83545,288463,556506,45548,269837,269167,64274,499637,1101071
55063,La Crosse County,3821,19268,8756,81740,58888,1670,7226,29889,15458,45840,115420
51077,Grayson County,132,3781,1091,10380,7917,85,428,5140,2884,7155,15377
53065,Stevens County,1348,8173,5529,23231,21586,1658,1978,13698,7063,20723,43513
51680,Lynchburg,3785,9575,5488,45714,40497,2321,4153,15061,16550,23814,76467
55037,Florence County,22,1271,547,1524,2174,122,154,1547,634,2379,4477
54085,Ritchie County,19,2771,1051,8323,5175,148,192,3184,2149,4397,10303
54057,Mineral County,67,8154,2486,9162,14266,402,1270,7023,4313,10349,28015
55115,Shawano County,600,12403,3646,35811,20887,721,1480,13037,4704,19459,41776
54037,Jefferson County,2592,9838,4753,17091,27481,1481,6458,14943,5904,23944,54131
51021,Bland County,102,1611,722,3810,2955,13,221,2045,969,3077,6795
51183,Sussex County,241,2272,1114,9038,4575,177,269,2600,1290,3632,12007
51640,Galax,464,1483,559,4324,3765,187,236,1965,1690,2501,6977
50015,Lamoille County,854,4582,1628,14201,12379,507,1739,7165,3021,10158,24670
51017,Bath County,178,1235,396,3525,2486,81,165,1600,759,2368,4686
54071,Pendleton County,17,2210,743,3758,3758,88,361,2532,1402,3604,7603
54091,Taylor County,25,4492,1656,13680,8398,144,810,5340,3140,7659,16906
54039,Kanawha County,2889,43953,16579,154803,99930,11209,13686,58777,26716,77743,192311
56015,Goshen County,312,2517,1258,4995,6431,273,645,3978,2309,5904,13458
54109,Wyoming County,21,6498,1621,20545,11829,139,1038,7463,4984,10851,23479
51013,Arlington County,48999,12686,12638,42188,107476,7445,65817,42654,16899,77437,214861
56009,Converse County,221,2761,1335,5920,6855,206,1750,4381,1189,6784,13937
55078,Menominee County,132,757,342,3777,2174,80,66,869,1329,1321,4292
53045,Mason County,3364,10629,8425,33113,29439,2872,3632,18188,10142,26759,60647
53039,Klickitat County,1145,3677,2224,7681,10336,382,1043,5600,3567,9211,20537
55069,Lincoln County,346,7662,2671,23418,14303,226,1237,9646,3088,14576,28650
50007,Chittenden County,11294,18927,9404,75549,80722,3499,17638,40736,16672,62122,157637
51027,Buchanan County,336,5241,1175,18622,11841,126,859,7458,5924,10821,23920
51175,Southampton County,198,3505,2173,13734,8828,383,908,4815,2745,7593,18444
55031,Douglas County,627,8739,3978,19779,22049,1089,2421,12846,6395,18102,43994
54063,Monroe County,37,3976,1055,9132,6819,146,407,4657,1824,6502,13512
51710,Norfolk,15564,32263,28126,120474,117227,8622,14263,38066,42580,68668,244090
54061,Monongalia County,4322,14135,5456,58266,47612,1746,7664,20792,20447,31679,98483
51033,Caroline County,816,6086,2747,18644,14621,667,2285,8553,3444,11722,28757
53033,King County,403342,199692,119707,819212,989561,105098,326257,466964,222813,802420,1974567
51530,Buena Vista,40,1317,466,4934,3650,125,178,1810,1293,2374,6699
55101,Racine County,9621,36320,14054,142721,98507,5449,14480,52214,25333,78223,195045
51580,Covington,118,1227,631,4538,2922,159,206,1855,1235,1928,5880
55005,Barron County,948,11846,3833,32785,22876,575,1801,13894,5782,21069,45826
55127,Walworth County,6256,19365,7046,60298,51240,1571,7209,27443,13306,43650,102619
51550,Chesapeake,10822,32215,25990,119807,115722,6374,24570,57579,18714,95801,225597
54093,Tucker County,6,2217,712,5379,3535,83,259,2440,1224,3547,7061
51163,Rockbridge County,398,5076,2579,15829,11328,346,1466,6761,2780,10850,22345
51153,Prince William County,88763,49131,40034,144995,209370,19179,73812,95506,26045,175586,416668
51750,Radford,692,1012,918,11037,8810,496,694,2546,5194,3692,16705
53051,Pend Oreille County,340,2742,1478,6773,6325,491,809,4118,2613,5834,12956
56031,Platte County,143,1462,916,4043,4248,177,757,2850,1380,3920,8701
50017,Orange County,453,6445,2227,12551,14566,476,1720,9749,3701,12949,28966
55111,Sauk County,2421,14457,4960,46263,31218,948,3272,17676,6647,28116,62353
51191,Washington County,728,10022,4604,32725,27890,591,3089,17242,6449,25554,54804
55047,Green Lake County,418,5247,1529,15174,9557,191,897,6070,2166,8931,19042
54055,Mercer County,789,13521,5385,48292,32538,1001,2573,18503,13521,26951,62261
53001,Adams County,4707,1967,868,10004,9245,553,522,3781,4233,7661,18802
54047,McDowell County,138,5409,1476,17154,11005,107,451,6367,7588,8580,21651
55061,Kewaunee County,283,6193,1684,18049,10039,122,1021,6596,1918,9824,20578
51540,Charlottesville,5272,4918,1742,20260,22610,945,3856,7071,11229,11398,43663
56029,Park County,912,5013,2571,10788,14272,440,2076,8503,2271,13706,28557
54027,Hampshire County,97,7521,1448,8109,11600,253,580,5684,4164,7765,23746
50001,Addison County,1496,7291,2610,19819,18406,537,2756,10497,3875,15635,36811
53007,Chelan County,8522,12488,5741,41186,36684,1606,5323,17753,9560,32355,73047
51103,Lancaster County,200,2324,1460,7412,5979,79,1164,4106,1304,5210,11303
51730,Petersburg,1201,6531,2692,24454,17307,541,963,5694,8439,7977,32326
51199,York County,4537,7723,9868,24852,33501,1993,9922,18068,3655,32613,65762
51095,James County,4788,9427,8923,27472,35201,1131,10732,20490,5846,33738,68171
56025,Natrona County,1774,11550,6377,36136,38369,2534,7218,21685,7497,32569,77343
54089,Summers County,33,3478,1316,9862,7348,76,270,4261,2392,6303,13795
51093,Isle of Wight County,829,5972,4170,22212,18067,782,3690,10926,4219,17132,35373
54095,Tyler County,16,2808,823,7257,4617,64,372,3000,1798,4188,9120
56037,Sweetwater County,2423,7991,3701,18824,21198,2233,5941,11928,4957,19453,44437
51097,King and Queen County,126,1790,703,5443,3192,30,450,2183,649,3638,7020
53011,Clark County,42861,62387,36674,143046,218859,17845,40092,103213,53164,180423,432549
55007,Bayfield County,229,3313,1702,9520,7329,242,835,5707,2012,7778,15071
50025,Windham County,1578,8682,3787,17873,22515,1071,3404,13476,5306,18733,44216
55065,Lafayette County,447,4708,1082,12197,8267,134,691,5158,1952,7839,16841
51600,Fairfax,5724,2177,1752,6850,11626,926,4550,5812,1619,10223,23027
54023,Grant County,17,3536,917,7919,5969,99,447,3517,1714,5259,11869
54045,Logan County,122,9447,2908,30892,18482,191,1594,10851,7058,16213,36442
55109,St. Croix County,1655,14179,5830,38021,42488,1091,8806,24986,6405,38739,84912
51159,Richmond County,651,2188,512,6623,3926,116,432,2138,940,3503,9140
54105,Wirt County,21,1707,529,4802,2846,94,204,2022,1114,2774,5796
54077,Preston County,355,9475,3098,23565,16316,328,1357,10172,4127,15541,33666
55119,Taylor County,277,5963,1509,17289,10068,170,844,6735,2827,9829,20633
54067,Nicholas County,362,7401,1916,21993,13369,204,1394,8562,4957,12896,26168
55087,Outagamie County,6806,38045,12168,141314,89278,2931,12606,50289,15239,78922,178013
56017,Hot Springs County,104,979,664,1769,2484,42,268,1575,562,2329,4825
53043,Lincoln County,191,2235,1223,6749,5235,362,774,3471,1469,5181,10481
54007,Braxton County,54,4130,1317,11997,7193,72,432,4446,3057,6597,14524
54097,Upshur County,171,6424,1966,18559,12268,248,995,6955,4221,10261,24371
55045,Green County,942,9074,2457,27647,18600,455,2321,11006,3770,17303,36901
53063,Spokane County,25833,64916,46164,253357,239358,17712,33382,119790,70574,189272,473832
55035,Eau Claire County,2837,15531,7501,71799,50863,1989,5844,25229,14928,38528,99788
51670,Hopewell,1033,4825,1879,15581,12032,611,776,4419,4396,6276,22429
51179,Stafford County,11011,17657,17657,50757,65595,4754,23390,32435,6549,59661,131885
51770,Roanoke,6336,16331,7732,65055,50894,3726,4940,23271,21360,30076,97355
55139,Winnebago County,5326,34430,12863,131592,83572,2961,9805,45194,19475,67486,167860
51595,Emporia,164,1034,335,4378,3026,47,239,1132,1608,1775,5773
51193,Westmoreland County,599,4166,1756,10850,9070,134,1149,5553,2246,6798,17532
55083,Oconto County,423,10520,3476,31859,18419,380,1979,13048,3775,19027,37531
55099,Price County,168,4192,1516,10950,6915,187,561,5319,2184,7349,14025
55123,Vernon County,276,6913,2341,23155,15052,314,1316,9284,4287,13639,30002
54015,Clay County,39,2519,688,7983,4651,115,222,2841,2293,4260,9352
51155,Pulaski County,516,6957,3188,27605,17445,469,1901,10816,4691,15855,34768
56019,Johnson County,158,1910,919,3830,4120,198,796,2725,641,4382,8595
51133,Northumberland County,385,2630,1710,7654,6353,9,877,4839,1366,6503,12334
54083,Randolph County,91,7939,2810,22891,14214,243,1009,8396,4349,12512,29399
53031,Jefferson County,1038,4398,4447,13060,15102,1490,2379,10099,3852,14112,29882
55117,Sheboygan County,6002,26419,8535,90703,57315,1927,6875,33250,10649,51708,115235
50011,Franklin County,1303,10687,3939,34793,24189,1232,3287,14170,4837,20924,48019
50009,Essex County,262,1826,659,2225,3110,92,181,2247,995,2838,6276
51109,Louisa County,884,8048,2963,21851,16959,568,2626,10422,3435,15468,33384
56023,Lincoln County,380,3364,1076,7630,8800,282,1522,5168,1245,8593,18100
51049,Cumberland County,118,2239,847,7283,5027,198,350,3134,1611,4006,9943
51051,Dickenson County,152,3150,955,13134,7792,123,501,4960,3243,7187,15749
51025,Brunswick County,261,3110,887,12868,8211,145,334,4207,3548,5874,17220
51171,Shenandoah County,1676,10031,3629,27124,21723,722,2662,12259,4887,19773,42270
51105,Lee County,268,4580,1823,14928,12164,148,672,7177,6414,10644,25497
55089,Ozaukee County,3464,12380,6097,63595,44239,1117,12915,26522,4478,42451,86708
53067,Thurston County,19448,33630,29091,119909,131096,12349,26176,67365,29545,108994,256080
51101,King William County,259,3899,1187,12280,8190,262,1026,4982,1508,7389,15959
55125,Vilas County,430,4879,2572,13343,10569,457,1181,8194,2807,10835,21401
51149,Prince George County,1510,6528,4312,19388,16455,800,2402,7803,2581,15884,36462
55135,Waupaca County,835,14655,4961,43906,25856,430,2514,16274,5363,24642,52300
51091,Highland County,6,687,272,1517,1218,3,141,868,231,1373,2276
51085,Hanover County,3392,16246,7945,66118,51212,1811,13075,30780,5019,48008,100328
51141,Patrick County,254,3843,1588,11621,9412,153,434,6041,3107,8510,18445
51185,Tazewell County,362,8852,3265,27772,22571,898,2027,13353,7942,20904,44664
54087,Roane County,39,4466,1206,11936,7508,805,532,4524,3617,6600,14807
55053,Jackson County,269,5223,1924,15934,9563,500,710,5984,3228,8543,20506
56021,Laramie County,2604,12916,12064,36322,46432,3148,7346,25126,9820,40040,93073
53013,Columbia County,88,704,408,2468,1963,99,191,1215,677,1889,4027
51840,Winchester,3073,4351,1648,13346,13627,814,2104,5055,5138,8576,26587
53071,Walla Walla County,6581,6616,5299,28928,28866,1802,3772,13373,9632,23121,59092
