geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
26005,Allegan County,3501,25284,7700,90936,56207,2007,6168,34232,14933,51803,111742
29131,Miller County,275,5947,2496,18690,12475,486,822,7734,5120,11140,24863
28041,Greene County,119,2919,1153,10061,5697,185,489,3597,2054,5389,14337
28027,Coahoma County,133,3023,1198,22282,13942,139,705,5046,9661,6091,25815
21001,Adair County,172,3350,1378,14449,9452,300,497,5411,3368,8330,18696
20127,Morris County,35,1460,767,4137,2979,97,263,1963,477,2957,5869
29077,Greene County,8463,42748,23944,167891,142798,7986,14500,68525,49571,109176,278231
28137,Tate County,426,4771,1585,15444,14529,171,1278,7405,4993,11057,28625
22049,Jackson Parish,96,3792,1402,13839,7936,96,615,4059,3189,6497,16217
24029,Kent County,768,4278,1872,11504,10604,239,1635,5353,2456,8092,20130
26093,Livingston County,5416,29202,12150,146673,91303,2666,22919,57594,11158,87430,182402
21061,Edmonson County,199,3010,943,9724,6081,51,344,3647,1928,6079,12148
29037,Cass County,1972,20474,8688,61659,50978,1988,7898,28959,8775,45500,99875
21205,Rowan County,243,3235,1231,17669,12047,529,616,5412,5925,8279,23425
20181,Sherman County,145,1287,471,3241,3034,56,199,1486,993,2699,6063
21189,Owsley County,16,917,244,4020,2361,78,96,1280,1752,2070,4738
22047,Iberville Parish,289,6983,1961,30230,16322,518,1739,8634,5671,10995,33360
21009,Barren County,649,9454,2483,33069,21907,414,1428,11311,8636,19316,42504
22059,LaSalle Parish,290,3698,1050,12642,7225,81,1045,4677,1958,6512,14843
20093,Kearny County,522,583,212,2487,1852,142,186,950,392,1638,3956
27101,Murray County,183,2324,827,6668,4357,90,626,3117,900,4373,8639
21079,Garrard County,286,3598,1238,13742,8568,88,583,4979,3181,7951,16896
26165,Wexford County,330,7365,2940,27867,16446,544,1200,9581,5980,14074,32690
21197,Powell County,95,2457,656,10428,6306,99,215,3162,3896,4429,12582
20191,Sumner County,161,5059,1899,17910,12006,485,1245,7048,3145,10536,23884
29111,Lewis County,174,2724,815,3946,5087,208,288,2921,1419,4501,10193
27165,Watonwan County,1281,2765,864,8392,5571,189,599,3311,1192,4963,11173
21143,Lyon County,48,1871,913,5758,3800,78,464,2579,1177,3463,8394
26119,Montmorency County,98,2614,1323,8067,4771,147,211,3543,1706,4591,9598
24039,Somerset County,850,5215,2083,18149,11886,810,826,5731,4535,7475,26347
22083,Richland Parish,76,4439,1003,17484,10792,136,951,5242,4247,8310,20816
